startpoint,Latitude,Longitude,endpoint,Latitude,Longitude
문경새재IC,36.7003551,128.1113012,동명동호JC,35.9733,128.5512
문막IC,37.3116369,127.8262833,산청IC,35.4281141,127.8596656
문산IC,35.172011,128.1592553,서진주IC,35.1835075,128.0407661
문수IC,35.517129,129.249477,풍기IC,36.8485,128.5274
문의청남대IC,36.4618125,127.4891875,달성JC,35.7683,128.4745
문평IC,35.0671632,126.5972387,달성IC,35.7683625,128.4742928
물금IC,35.3081493,129.0120328,북현풍JC,35.7053,128.4379
밀양IC,35.5020389,128.7912704,고서JC,35.2245672,126.9600059
밀양JC,35.519366,128.796403,담양IC,35.2804776,126.9796693
밀양입구JC,35.5072,128.7959,대덕JC,35.2465,127.0356
밀양출구JC,35.523,128.7954,북광주IC,35.2614506,126.893678
발안IC,37.1246148,126.881769,당진JC,36.850338,126.6190797
배내골IC,35.5233825,129.0084195,송악IC,36.9351916,126.7797285
백양사IC,35.4289846,126.8038212,당진IC,36.893758,126.710095
벌교IC,34.8475775,127.3416,서산IC,36.8071202,126.5717244
범서IC,35.6178,129.2834,광재IC,35.3052,128.8963
보성IC,34.7714563,127.0798944,대동IC,35.2588768,128.9829536
보은IC,36.4568495,127.71954,진부IC,37.6518038,128.5616187
봉담IC,37.2289923,126.9566755,동대구IC,35.8659659,128.6862423
봉담(가)IC,37.220154,126.9502589,수성IC,35.8350808,128.6933536
부곡IC,37.3243419,126.9602281,김해JC,35.2285451,128.8893517
부산IC,35.1795543,129.0756416,김해부산IC,35.2285451,128.8893517
부안IC,35.7269484,126.7694002,삼성IC,37.020525,127.499524
부여IC,36.297785,126.851833,금왕꽃동네IC,36.9548,127.5513
북강릉IC,37.8350642,128.8145053,대소IC,36.979337,127.465378
북공주JC,36.509699,127.110916,진천IC,36.8693508,127.475052
북광주IC,35.2614506,126.893678,동여주IC,37.2527242,127.6534128
북구미IC,36.143275,128.301848,흥천이포IC,37.3784,127.5162
북남원IC,35.4413,127.313,비룡JC,36.3443311,127.4826213
북다사IC,35.8842,128.4628,회덕JC,36.4043227,127.4192646
북단양IC,37.0140983,128.2882752,광천IC,36.4982135,126.5852035
북달성IC,35.7683625,128.4742928,무창포IC,36.2388833,126.5611292
북대구IC,35.9088199,128.5803067,남진례IC,35.2617056,128.755197
북대전IC,36.4115156,127.3817125,진해IC,35.1330251,128.7100381
북무안IC,35.0133,126.4318,장수JC,35.731752,127.606757
북부산IC,35.2213,128.9412,덕평휴게소IC,37.2412764,127.3901886
북상주IC,36.5305711,128.169856,양지IC,37.2394693,127.2943369
북수원IC,37.3188708,126.9902808,덕평IC,37.2417203,127.3637468
북안IC,35.9278,129.0112,서군위IC,36.1983404,128.558745
북안JC,35.9273,129.0108,청통와촌IC,35.9704838,128.8292537
북양양IC,38.1545715,128.5860145,팔공산IC,35.9065157,128.6413566
북여주IC,37.3725962,127.5266717,포곡IC,37.2796,127.2127
북영천IC,36.0320892,128.9154938,남경주IC,35.7497623,129.3155014
북영천JC,36.0320892,128.9154938,남포항IC,35.9238314,129.3956027
북오산IC,37.1864314,127.0548999,고령IC,35.7015052,128.2499548
북원주IC,37.4195977,127.9206044,고성IC,35.0079227,128.3492141
북의성IC,36.2908853,128.5807959,북통영IC,34.8955,128.407
북진천IC,36.9455912,127.4506078,광양IC,34.972997,127.6037571
북창원IC,35.2864222,128.6055992,옥곡IC,34.9861917,127.7087469
북천안IC,36.8983657,127.1836803,군산IC,36.0093872,126.799279
북충주IC,37.0371,127.797,서김제IC,35.8352699,126.839613
북충주2JC,37.0371,127.797,신녕IC,36.0453438,128.7897497
북충주JC,37.0371,127.797,군위출구JC,36.1622,128.5485
북통영IC,34.8955,128.407,동군위IC,36.1983404,128.558745
북평택IC,37.0665683,126.9927598,군포IC,37.3258965,126.9220928
북현풍IC,35.6759005,128.4346602,동군포IC,37.3288131,126.9362858
북현풍JC,35.7053,128.4379,부곡IC,37.3243419,126.9602281
불갑산IC,35.1907313,126.5650998,김천IC,36.1339229,128.0932077
비룡JC,36.3443311,127.4826213,지리산IC,35.483936,127.5886064
비봉IC,37.2423227,126.8819602,대구IC,35.8714354,128.601445
사천IC,35.1133222,128.086597,경산IC,35.877022,128.787177
산곡JC,37.4822998,127.2418073,도동JC,35.9127098,128.6625211
산내JC,36.2816,127.4524,상매JC,35.8921,128.7019
산인IC,35.2716,128.4716,둔내IC,37.4926775,128.2060468
산인2JC,35.2715,128.4677,면온IC,37.5613944,128.3653905
산인JC,35.2714,128.4729,동명동호IC,35.9649,128.5526
산청IC,35.4281141,127.8596656,밀양출구JC,35.523,128.7954
삼랑진IC,35.4001626,128.8204927,배내골IC,35.5233825,129.0084195
삼례IC,35.925291,127.0791155,조양JC,37.7595,127.7735
삼성IC,37.020525,127.499524,동산IC,37.7571,127.74
삼척IC,37.4558117,129.1692884,서의성IC,36.404958,128.416852
상관IC,35.7592856,127.2183844,동서천IC,36.0425497,126.7851961
상동IC,35.3190078,128.9433723,서부여IC,36.2398593,126.7900794
상매JC,35.8921,128.7019,서천IC,36.0987635,126.6898705
상주IC,36.4228349,128.2132715,북수원IC,37.3188708,126.9902808
상주JC,36.374984,128.275147,신갈JC,37.2900153,127.1036595
새말IC,37.4467638,128.0657284,남광명IC,37.4397147,126.8501522
생초IC,35.4818,127.8242,남군포IC,37.3243193,126.9263501
서공주IC,36.4556713,127.0583812,북의성IC,36.2908853,128.5807959
서공주JC,36.4854177,127.0624911,청송IC,36.4359045,129.0571077
서광산IC,35.1183816,126.7324468,금곡IC,37.2845063,126.9493967
서군위IC,36.1983404,128.558745,서원주IC,37.3901783,127.8575376
서김제IC,35.8352699,126.839613,대신IC,37.3845,127.5815
서김해IC,35.2207677,128.8461063,동양평IC,37.3995,127.7523
서남원IC,35.3613907,127.3366335,신녕JC,36.0453438,128.7897497
서논산IC,36.224583,127.053271,영천JC,35.920645,129.006724
서대구IC,35.8767395,128.5305901,서오창IC,36.7151467,127.442865
서대구JC,35.8767395,128.5305901,서오창서JC,36.7267306,127.4134341
서대전IC,36.2917791,127.3281931,오창JC,36.7422993,127.4545528
서대전JC,36.2940842,127.3160831,상관IC,35.7592856,127.2183844
서부산IC,35.1558884,128.9519315,완주JC,35.8826034,127.1741076
서부여IC,36.2398593,126.7900794,진영JC,35.2789,128.7177
서산IC,36.8071202,126.5717244,창원JC,35.2751464,128.6435404
서상IC,35.6655825,127.673788,영덕IC,36.4150799,129.3659681
서서울IC,37.356793,126.863877,노은JC,37.0361,127.8043
서세종IC,36.4958,127.1938,서용인IC,37.2397,127.1596
서순천IC,35.0032414,127.48249,중리IC,37.2078,127.1261
서시흥IC,37.4558229,126.797157,오산IC,37.1434772,127.0840266
서안동IC,36.5882671,128.6279773,함평JC,35.03168,126.487202
서안산IC,37.3510025,126.8040759,망상IC,37.584,129.0928
서안성IC,37.0336864,127.1598279,내촌IC,37.7885778,128.1393254
서양양IC,37.9941,128.5316,춘천JC,37.7561098,127.7878851
서여주IC,37.3050221,127.5823071,동둔내IC,37.4926775,128.2060468
서영암IC,34.7370902,126.5710531,새말IC,37.4467638,128.0657284
서오산IC,37.1434772,127.0840266,안산JC,37.344985,126.86187
서오산JC,37.1764161,126.9983951,팔곡JC,37.309287,126.8942905
서오창IC,36.7151467,127.442865,파군재IC,35.9364,128.6388
서오창JC,36.7267306,127.4134341,마곡사JC,36.5585432,127.0120353
서오창동JC,36.7279,127.4182,마곡사IC,36.5585432,127.0120353
서오창서JC,36.7267306,127.4134341,유구IC,36.5646844,126.9763029
서용인IC,37.2397,127.1596,마도서IC,37.1882,126.7881
서용인JC,37.241,127.1545,화성IC,37.1893446,126.8113812
서용인동IC,37.2435,127.1567,마도동IC,37.1879,126.7876
서용인서IC,37.2386,127.1526,조암IC,37.1188372,126.8182896
서울IC,37.365,127.1035,마도IC,37.1879,126.7864
서울산IC,35.5535112,129.1239877,마도JC,37.1876,126.7761
서울주JC,35.513324,129.112288,서용인JC,37.241,127.1545
서울주JC2IC,35.5151,129.1013,서이천IC,37.2780774,127.3901876
서원주IC,37.3901783,127.8575376,남원주IC,37.324054,127.9300507
서원주JC,37.3941,127.858,문막IC,37.3116369,127.8262833
서의성IC,36.404958,128.416852,신평JC,37.3883,127.8866
서이천IC,37.2780774,127.3901876,원주JC,37.3422186,127.9201621
서전주IC,35.8264688,127.0332891,동해IC,37.514019,129.096938
서종IC,37.6343392,127.370096,비봉IC,37.2423227,126.8819602
서진주IC,35.1835075,128.0407661,평창IC,37.59053,128.41384
서천IC,36.0987635,126.6898705,고덕IC,36.7578784,126.7013798
서청주IC,36.6529039,127.4214521,옥산JC,36.7079,127.348
서충주IC,37.01097,127.670975,무안IC,35.0069464,126.4922223
서평택IC,37.000178,126.870408,목포IC,34.840854,126.4243717
서평택JC,37.054269,126.88857,북무안IC,35.0133,126.4318
서포항IC,36.0700627,129.2212972,금산IC,36.103965,127.519715
서함양IC,35.5327108,127.7497566,덕유산IC,35.860556,127.746389
석곡IC,35.1283,127.2472,춘장대IC,36.167837,126.6015161
선산IC,36.240311,128.26293,점촌함창IC,36.5859808,128.154717
선운산IC,35.508056,126.571111,여주IC,37.2527242,127.6534128
설악IC,37.6692816,127.4954439,진성IC,35.1923987,128.2262207
성주IC,35.9192848,128.2491711,진주IC,35.1622893,128.1252032
소양IC,35.8646621,127.2350467,울산JC,35.5619,129.23971
속리산IC,36.4556565,127.7877002,울주JC,35.502711,129.256762
속사IC,37.6300829,128.4891264,회인IC,36.4867,127.6087
속초IC,38.2070148,128.5918488,나주IC,35.1019107,126.6962562
송산마도IC,37.2117435,126.7541471,동함평IC,35.050831,126.5456329
송악IC,36.9351916,126.7797285,남양산IC,35.3253697,129.0256144
송탄IC,37.0346853,127.107944,남밀양IC,35.4509335,128.7736345
수성IC,35.8350808,128.6933536,밀양JC,35.519366,128.796403
수원신갈IC,37.2662959,127.1039379,밀양입구JC,35.5072,128.7959
순창IC,35.3626651,127.1462626,청도IC,35.6528535,128.747687
순천IC,34.9880493,127.5157372,동밀양JC,35.5082,128.8324
순천2JC,34.94961,127.5520681,서평택JC,37.054269,126.88857
순천JC,34.9907438,127.5394572,서울주JC,35.513324,129.112288
승주IC,35.0145715,127.3751665,내장산IC,35.4797022,126.8879786
신갈JC,37.2900153,127.1036595,장성JC,35.3299687,126.8044625
신녕IC,36.0453438,128.7897497,보성IC,34.7714563,127.0798944
신녕JC,36.0453438,128.7897497,줄포IC,35.5974627,126.6964383
신둔IC,37.2924,127.3795,청양IC,36.37441,126.95335
신림IC,37.2255967,128.0877605,남양양IC,37.914785,128.789914
신양IC,36.5957,126.8676,오수IC,35.5533675,127.3216021
신탄진IC,36.4391797,127.4234855,북달성IC,35.7683625,128.4742928
신평JC,37.3883,127.8866,남제천IC,37.0765609,128.1812837
안동JC,36.434393,128.623547,단양IC,36.9178613,128.3636597
안산IC,37.3482257,126.8388503,북다사IC,35.8842,128.4628
안산JC,37.344985,126.86187,금호JC,35.8930152,128.5255345
안성IC,36.9949132,127.1538573,무안공항IC,34.9904542,126.4816856
안성JC,37.0359357,127.1388854,동수원IC,37.3000686,127.0496645
안영IC,36.2838087,127.3780219,북안IC,35.9278,129.0112
양감IC,37.1012559,126.9920059,속초IC,38.2070148,128.5918488
양산IC,35.3782528,129.0516661,양양IC,38.0738168,128.5934766
양산JC,35.331863,129.043523,남양평IC,37.4810821,127.4670721
양양IC,38.0738168,128.5934766,북영천JC,36.0320892,128.9154938
양양JC,38.067,128.6006,북영천IC,36.0320892,128.9154938
양지IC,37.2394693,127.2943369,화산JC,36.0221,128.8923
양촌IC,36.158575,127.218341,화산입구JC,36.0239,128.8948
양평IC,37.521443,127.449776,동탄(가)IC,37.2040251,127.066971
언양JC,35.56465,129.1341,서오산JC,37.1764161,126.9983951
여주IC,37.2527242,127.6534128,횡성IC,37.5055049,127.9705692
여주JC,37.2328366,127.5902528,동안동IC,36.4458,128.8944
연경IC,35.9367,128.612,남안성IC,36.9763893,127.2434047
연무IC,36.1475418,127.0602781,칠원JC,35.2834486,128.5104416
연풍IC,36.7592069,127.9919776,안성IC,36.9949132,127.1538573
연화산IC,35.0826,128.1914,천안IC,36.8270727,127.1694438
영광IC,35.3000793,126.5584866,북충주IC,37.0371,127.797
영덕IC,36.4150799,129.3659681,통영IC,34.8670799,128.4443478
영동IC,36.269763,127.8328677,양감IC,37.1012559,126.9920059
영산IC,35.4551226,128.5110758,북현풍IC,35.6759005,128.4346602
영주IC,36.7681611,128.5717552,함평IC,35.1002407,126.4815266
영천IC,35.92238,128.95146,대전IC,36.3632727,127.4511516
영천JC,35.920645,129.006724,판암IC,36.318927,127.468242
예산수덕사IC,36.6767785,126.775347,매송IC,37.2776242,126.8972633
