latitude,longitude,address
33.2829587,126.7467882,제주특별자치도 서귀포시 남원읍 남태해안로 445
33.2830398,126.7471115,제주특별자치도 서귀포시 남원읍 태위로940번길 12-50
33.283396,126.7332056,제주특별자치도 서귀포시 남원읍 태위로 817
33.2839261,126.5656042,제주특별자치도 서귀포시 솔오름로 126
33.2843656,126.5560514,제주특별자치도 서귀포시 솔오름로 28
33.2843923,126.721705,제주특별자치도 서귀포시 남원읍 남조로52
33.2846767,126.5814672,제주특별자치도 서귀포시 인정오름로85번길 41
33.2847141,126.3015865,제주특별자치도 서귀포시 안덕면 서광남로 144-4
33.2847857,126.555756,제주특별자치도 서귀포시 솔오름로20번길 12
33.2852116,126.2758567,제주특별자치도 서귀포시 대정읍 보성리 2424
33.2859808,126.5637555,제주특별자치도 서귀포시 솔오름로105번길 24
33.2860195,126.2832858,제주특별자치도 서귀포시 대정읍 구억리 625-1
33.2869153,126.5845845,제주특별자치도 서귀포시 인정오름로 24
33.2874833,126.5774466,제주특별자치도 서귀포시 인정오름로 90
33.2877167,126.7451635,제주특별자치도 서귀포시 남원읍 태신로 14
33.2879423,126.2818297,제주특별자치도 서귀포시 대정읍 에듀시티로 86
33.2879471,126.2819717,제주특별자치도 서귀포시 대정읍 보성리 2410
33.2881714,126.6270093,제주특별자치도 서귀포시 남원읍 신례중앙로 37
33.2882095,126.6275236,제주특별자치도 서귀포시 남원읍 신례리 1044-1
33.2892724,126.4150925,제주특별자치도 서귀포시 색달중앙로252번길 124
33.2896155,126.6291723,제주특별자치도 서귀포시 남원읍 신례중앙로 6
33.2900093,126.7543182,제주특별자치도 서귀포시 남원읍 일주동로 6789-47
33.290498,126.7244359,제주특별자치도 서귀포시 남원읍 태수로143번길 132-37
33.2906937,126.2985275,제주특별자치도 서귀포시 안덕면 녹차분재로 85
33.2907134,126.7446801,제주특별자치도 서귀포시 남원읍 태신로 50 
33.2908538,126.2481025,제주특별자치도 제주시 한경면 연명로 159-7
33.2909741,126.6342322,제주특별자치도 서귀포시 남원읍 신례동로 60
33.2919464,126.661655,제주특별자치도 서귀포시 남원읍 자배오름로139번길 149
33.292681,126.2336974,제주특별자치도 제주시 한경면 연명로 8-1
33.2937647,126.7586888,제주특별자치도 서귀포시 남원읍 태흥리 119-3
33.2944737,126.7111159,제주특별자치도 서귀포시 남원리 381
33.2955798,126.2178898,제주특별자치도 제주시 한경면 불그못로 72
33.2965697,126.2426095,제주특별자치도 제주시 한경면 대한로 791
33.2969318,126.5898662,제주특별자치도 서귀포시 상효동 1421-9
33.2970013,126.6304463,제주특별자치도 서귀포시 남원읍 신례동로 121-17
33.2972045,126.6088587,제주특별자치도 서귀포시 남원읍 하례돈야로 83
33.2974057,126.3051643,제주특별자치도 서귀포시 안덕면 서광리 1279
33.2986031,126.304459,제주특별자치도 서귀포시 안덕면 서광리 산35-7
33.3004758,126.183708,제주특별자치도 제주시 한경면 칠전로 37
33.3006947,126.1792815,제주특별자치도 제주시 한경면 용고로 81
33.3015229,126.1845301,제주특별자치도 제주시 한경면 칠전로 41
33.3022732,126.2590294,제주특별자치도 제주시 한경면 연명로 348 
33.3024639,126.2945827,제주특별자치도 서귀포시 안덕면 녹차분재로 216
33.3024866,126.6119571,제주특별자치도 서귀포시 남원읍 하례광장로 107
33.3042197,126.766788,제주특별자치도 서귀포시 남원읍 신흥로 34
33.3042485,126.2896837,제주특별자치도 서귀포시 안덕면 서광리 2489-49
33.3042936,126.3385546,제주특별자치도 서귀포시 안덕면 동광로100번길 20
33.3043418,126.2996189,제주특별자치도 서귀포시 안덕면 녹차분재로 218
33.304633,126.1812927,제주특별자치도 제주시 한경면 고산로4길 12-7
